topic,rank,word,weight
13,36,heure_hebdo,0.0037254016
13,37,euro_brut,0.0037239387
13,38,esprit_equipe,0.0036970694
13,39,porte_fenetre,0.0035878292
13,40,information_complementaire,0.0034603777
13,41,resume_publiee_ref_post,0.0033196597
13,42,convention_collectif,0.0031163436
13,43,securit_environnement,0.0030790793
13,44,bouygue_immobilier,0.0030684506
13,45,electricite_plomberie,0.0030661488
13,46,instrument_mesure,0.0028995452
13,47,prime_interessement,0.0028944097
13,48,energie_environnement,0.0028641333
13,49,chauffage_sanitaire,0.0028068097
13,50,donneur_ordre,0.0027945042
14,1,grand_distribution,0.031018073
14,2,respect_consigne,0.015288584
14,3,offre_interesse,0.014739927
14,4,espace_vert,0.0140806595
14,5,reception_marchandise,0.009542141
14,6,aimer_contact,0.00908259
14,7,accueillir_conseiller,0.0078812195
14,8,collectivite_local,0.0076121665
14,9,jour_decembre,0.007246296
14,10,mettre_place,0.0071764104
14,11,plus_sain,0.0066971406
14,12,agence_welljob,0.006657247
14,13,territoire_national,0.005293524
14,14,produit_finir,0.004864131
14,15,pouvoir_accomplir,0.0047455677
14,16,roche_yon,0.004679563
14,17,mesure_physique,0.0046107867
14,18,alors_attendre,0.004450639
14,19,voir_confier,0.004438457
14,20,chambre_froid,0.0040771156
14,21,annonce_hesiter,0.00404649
14,22,entreprise_dotee,0.0039958367
14,23,agence_repartir,0.003993879
14,24,interim_cdd,0.0039806636
14,25,rire_kiri,0.00395837
14,26,directeur_tric,0.0038933796
14,27,vitalis_medical,0.0038394437
14,28,selon_convention,0.0037535976
14,29,specialist_recrutement,0.0037223266
14,30,description_poste_agence_welljob,0.0035592818
14,31,ambitieux_durable,0.003471485
14,32,pme_pmi,0.0034641293
14,33,faire_partie,0.00344038
14,34,deplacement_occasionnel,0.0032441032
14,35,innovation_passion,0.0032184965
14,36,porter_ambition,0.0032164603
14,37,alors_venir,0.0032065783
14,38,collaborateur_passionne,0.0031901593
14,39,demain_aujourd_hui,0.0031258466
14,40,monde_agricole,0.003121634
14,41,rejoindre_thales_creez_monde,0.003119624
14,42,innovation_passion_ambition,0.0030664383
14,43,postuler_ligne,0.0030378858
14,44,taux_horaire,0.003033821
14,45,conseiller_vendre,0.003025583
14,46,appel_medical,0.0028996523
14,47,mission_principal,0.0028923848
14,48,demain_aujourd,0.0028398763
14,49,creez_monde,0.0028294765
14,50,rejoindre_thales,0.0028255018
15,1,comite_entreprise,0.014777218
15,2,meilleur_condition,0.01120819
15,3,deplacement_ponctuel,0.0091443015
15,4,compte_epargne,0.008959878
